"Section","Title","Status","Detail"
"6.5.1","Exchange modern auth enabled","PASS","OAuth2 = True."
"6.5.2","MailTips enabled","PASS","All MailTip settings on."
"6.5.3","OWA storage restricted","FAIL","AdditionalStorage = True."
"6.5.4","SMTP AUTH disabled","PASS","SMTP AUTH = disabled."
"6.5.5","Restrict direct send","PASS","No open connectors."
"7.2.1","SPO modern auth required","WARN","SPO not connected."
"7.2.2","SPO B2B integration","WARN","SPO not connected."
"7.2.5","SPO guest resharing blocked","WARN","SPO not connected."
"7.2.7","SPO link sharing restricted","WARN","SPO not connected."
"7.2.9","SPO guest access expiry","WARN","SPO not connected."
"7.2.10","SPO reauth","WARN","SPO not connected."
"7.2.11","SPO default link permission","WARN","SPO not connected."
"7.3.1","SPO infected file download blocked","WARN","SPO not connected."
"7.3.2","OneDrive sync restricted","WARN","SPO not connected."
"8.1.1","Teams approved cloud storage","WARN","5 3rd party providers enabled."
"8.1.2","Block email to Teams channel","FAIL","AllowEmailIntoChannel = True."
"8.2.1","Teams external domain restriction","PASS","Federation restricted."
"8.2.2","Block unmanaged Teams","FAIL","AllowTeamsConsumer = True."
"8.2.3","Block external Teams inbound","FAIL","AllowTeamsConsumerInbound = True."
"8.2.4","Block trial Teams tenants","PASS","TrialTenants = Blocked."
"8.5.1","Anon join meetings","FAIL","AllowAnonymousUsersToJoinMeeting=True."
"8.5.2","Block anon start meeting","PASS","AnonStart = False."
"8.5.3","Anon start meetings","PASS","AllowAnonymousUsersToStartMeeting=False."
"8.5.4","PSTN bypass lobby","PASS","AllowPSTNUsersToBypassLobby=False."
"8.5.5","Meeting chat anon","FAIL","MeetingChatEnabledType=Enabled."
"8.5.6","Presenter restrictions","FAIL","DesignatedPresenterRoleMode=EveryoneUserOverride."
"8.5.7","Block external control","PASS","ExternalControl = False."
"8.5.8","External meeting chat off","FAIL","ExternalChat = True."
"8.5.9","Recording off by default","FAIL","AllowCloudRecording = True."
"8.6.1","Security reporting in Teams","PASS","AllowSecurityEndUserReporting=True."
"9.1.1 (L1)","Ensure guest user access is restricted in Power BI","FAIL","AllowGuestAccess = True (expected False)."
"9.1.2 (L1)","Ensure external user invitations are restricted in Power BI","FAIL","AllowGuestLookup = True (expected False)."
"9.1.3","CA for Power BI","PASS","1 CA policy targets PBI."
"9.1.4 (L1)","Ensure 'Publish to web' is restricted in Power BI","FAIL","PublishToWeb = True (expected False)."
"9.1.5 (L2)","Ensure R and Python visuals are Disabled in Power BI","FAIL","AllowRVisuals = True (expected False)."
"9.1.6 (L1)","Ensure 'Allow users to apply sensitivity labels' is Enabled in Power BI","FAIL","SensitivityLabelsEnabled = False (expected True)."
"9.1.7 (L1)","Ensure shareable links are restricted in Power BI","FAIL","ShareLinkToEntireOrg = True (expected False)."
"9.1.8 (L1)","Ensure block ResourceKey authentication is enabled in Power BI","FAIL","BlockResourceKeyAuthentication = False (expected True)."
"9.1.9 (L1)","Ensure external data sharing is restricted in Power BI","FAIL","ExternalDatasetSharingTenant = True (expected False)."
"9.1.10 (L1)","Ensure access to APIs by service principals is restricted in Power BI","FAIL","ServicePrincipalAccess = True (expected False)."
"9.1.11 (L1)","Ensure service principals cannot create and use profiles in Power BI","FAIL","ServicePrincipalProfiles = True (expected False)."
"9.1.12 (L1)","Ensure service principals cannot manage workspaces in Power BI","FAIL","ServicePrincipalCanManageWorkspaces = True (expected False)."
"1.1.2","Two emergency access accounts defined","MANL","Candidates: "
"1.3.8","Sway external sharing disabled","MANL","Requires admin center UI verification."
"2.2.1","Emergency access account activity monitored","MANL","Requires Defender for Cloud Apps UI verification."
"2.4.3","MDCA enabled and configured","MANL","Requires Defender for Cloud Apps UI verification."
"5.1.2.4","Entra admin center access restricted","MANL","Requires UI verification."
"5.1.2.5","'Keep me signed in' hidden","MANL","Requires UI verification."
"5.1.2.6","LinkedIn account connections disabled","MANL","Requires UI verification."
"5.1.8.1","Password hash sync enabled (hybrid)","MANL","Cloud-only tenant (DirSync disabled) - N/A."
"5.2.4.1","SSPR is enabled for 'All'","MANL","Requires UI verification."
"7.2.8","External sharing restricted by security group","MANL","Requires SPO admin center verification."
"8.4.1","Teams app permission policies configured","MANL","Global policy: default=BlockedAppList global=BlockedAppList private=BlockedAppList"
